Starting run
3.54255: dirge
3.57106: daisy
3.50842: crust
3.51749: shirt
3.6406: overt
3.67473: inane
3.56674: acrid
3.55076: basil
3.57192: depot
3.5797: reply
3.52225: pilot
3.546: slang
3.6419: riser
3.654: asset
3.527: pulse
3.62289: viral
3.62937: loose
3.53132: shorn
3.57019: swine
3.54341: plead
3.58099: elite
3.60734: sneak
3.64233: racer
3.57365: twine
3.62203: halve
3.60605: tarot
3.62721: baker
3.53261: daunt
3.55896: ralph
3.59093: mayor
3.55335: orbit
3.54471: scald
3.60562: title
3.60432: amber
3.60864: straw
3.58747: stark
3.55076: stoic
3.53045: craft
3.55378: scour
3.53564: thorn
3.61814: shave
3.58186: under
3.60043: curio
3.54773: rapid
3.58445: mural
3.62505: tiara
3.58143: steer
3.57279: mange
3.55637: north
3.55464: scaly
3.57624: twice
3.60562: altar
3.56631: antic
3.53909: ranch
3.54125: spied
3.58099: flame
3.58618: deity
3.51879: moist
3.55076: scrap
3.55767: medal
3.54687: ridge
3.58661: sneer
3.59222: honey
3.61123: brave
3.60562: infer
3.57451: bagel
3.52354: sloth
3.59136: inept
3.51922: plied
3.57322: brash
3.60864: knelt
3.59352: sinew
3.57063: mason
3.66436: exalt
3.56371: macro
3.6013: screw
3.56976: scram
3.55551: baton
3.58877: rhino
3.57667: coupe
3.60259: begat
3.53045: spoil
3.6324: hyena
3.62635: rival
3.5784: tango
3.52095: hoist
3.57495: soapy
3.54255: model
3.55335: storm
3.53348: frost
3.55637: sonic
3.60994: voice
3.60691: owner
3.56026: tense
3.61814: fairy
3.55205: board
3.54384: clout
3.55637: adult
3.5879: noisy
3.58013: abled
3.54125: flirt
3.56933: flute
3.55508: braid
3.6203: foyer
3.5378: clued
3.63672: leaky
3.56933: spray
3.60605: covet
3.65961: retro
3.5689: marsh
3.61641: leafy
3.57538: cower
3.5905: today
3.59611: felon
3.58056: fecal
3.54816: mince
3.55421: tramp
3.56803: lodge
3.59698: reuse
3.53002: crony
3.55076: prude
3.58013: berth
3.58618: basin
3.53693: strip
3.5676: crawl
3.57797: amble
3.54687: haunt
3.60086: biome
3.61382: decay
3.56026: grasp
3.63197: parer
3.66523: graze
3.57451: scree
3.64449: aorta
3.57754: steel
3.58618: aloud
3.54989: draft
3.55335: minor
3.55162: scion
3.5905: nerdy
3.61901: heady
3.58963: media
3.61771: liken
3.61641: flyer
3.6203: often
3.55508: wrist
3.57149: peach
3.71965: extra
3.54557: choir
3.56933: randy
3.60691: unmet
3.58402: fable
3.61123: inlay
3.53132: posit
3.62505: rebus
3.55378: sadly
3.56717: faint
3.58402: niche
3.56156: track
3.58661: twirl
3.58445: swirl
3.52311: point
3.57754: edict
3.5797: raspy
3.56026: tepid
3.56803: fried
3.56112: glide
3.58099: skirt
3.63542: break
3.55378: sharp
3.56544: along
3.54946: angst
3.63585: fiery
3.57106: upset
3.55724: tonic
3.62981: wafer
3.56069: daily
3.59093: audit
3.60648: whole
3.5879: lumen
3.65918: otter
3.57797: surly
3.59309: forge
3.60605: clerk
3.60518: while
3.62376: novel
3.64492: haven
3.57495: clove
3.63326: agree
3.53002: snout
3.62505: ester
3.5486: corny
3.5676: amend
3.59222: piety
3.53909: groin
3.54428: front
3.59309: poesy
3.57063: unlit
3.62246: salvo
3.56587: setup
3.57279: lurid
3.69978: maize
3.60562: broke
3.61382: enter
3.6108: troll
3.58229: tonga
3.56587: grout
3.57408: until
3.57106: adopt
3.59698: warty
3.60216: crier
3.53952: brand
3.60994: poker
3.59179: cover
3.62376: foray
3.68898: paper
3.60086: prove
3.52959: clash
3.6203: lyric
3.58531: scarf
3.56026: rabid
3.59827: urban
3.61123: aunty
3.63629: eager
3.58315: golem
3.57495: sandy
3.57279: piney
3.53305: first
3.61987: truer
3.56285: stony
3.52095: crisp
3.54384: grand
3.58445: money
3.50713: spilt
3.58661: saucy
3.69028: waive
3.58488: croak
3.58618: decry
3.51749: clasp
3.58186: cobra
3.54903: worst
3.69806: hazel
3.62981: surer
3.64276: noose
3.54082: scalp
3.59395: yield
3.52095: chant
3.63499: ethos
3.56458: stalk
3.58575: gleam
3.58229: chaos
3.60216: start
3.5892: loamy
3.60432: fresh
3.60864: shrew
3.61037: toast
3.55767: broad
3.53348: plaid
3.59611: fibre
3.68769: awoke
3.58575: chafe
3.60173: ombre
3.5892: drive
3.58099: lunge
3.51965: split
3.68121: gazer
3.55983: align
3.57235: graft
3.56415: latch
3.63542: rhyme
3.55853: scold
3.62894: visor
3.63844: wheat
3.54255: dunce
3.64968: ovine
3.59309: grief
3.57538: guest
3.67214: agate
3.56371: chute
3.5905: boney
3.60302: white
3.59568: stork
3.5676: cleft
3.54557: claim
3.56587: fault
3.58315: purge
3.59525: drove
3.63067: ladle
3.60302: dicey
3.57624: drawl
3.63844: voila
3.59784: threw
3.61037: basic
3.59741: brief
3.58056: globe
3.62462: flake
3.61123: wrath
3.62419: cyber
3.55248: foist
3.64622: viola
3.58963: gaunt
3.64795: freak
3.60907: corer
3.62117: vital
3.5594: blurt
3.63413: abhor
3.58834: sperm
3.65529: ruler
3.56156: robin
3.59611: beach
3.5879: weird
3.66134: rearm
3.58445: mercy
3.59698: power
3.57495: dirty
3.62462: hover
3.57883: gaily
3.56328: patsy
3.60994: tempo
3.60216: erect
3.55594: chide
3.56328: slurp
3.62592: gavel
3.58531: debit
3.57408: tumor
3.6622: wreak
3.63758: vicar
3.5892: three
3.62678: total
3.61512: buyer
3.60432: rusty
3.63024: about
3.59006: carat
3.5486: third
3.60432: vault
3.58143: glory
3.5892: tract
3.56242: chain
3.53391: torch
3.66652: alley
3.60389: thief
3.56285: chard
3.58099: drank
3.6311: hyper
3.56112: crank
3.68251: aware
3.68683: above
3.63888: hovel
3.58186: wince
3.64406: leery
3.67257: abate
3.59093: wider
3.5905: horny
3.59352: incur
3.55724: scout
3.61641: hardy
3.53521: count
3.61987: tulle
3.58575: lousy
3.6216: amity
3.61339: whose
3.64492: shove
3.61555: eagle
3.59784: there
3.57883: aptly
3.62851: grove
3.5879: dowel
3.55724: clang
3.71749: quote
3.61685: curve
3.61641: spoke
3.64665: maybe
3.57927: pasty
3.59309: habit
3.66825: waver
3.57538: stank
3.57149: caput
3.64665: prize
3.57235: panic
3.67084: dread
3.54644: palsy
3.57667: spend
3.57408: perch
3.67127: inner
3.68121: ovary
3.59611: guard
3.67559: masse
3.59093: hinge
3.54341: glint
3.63758: smoke
3.55464: chest
3.56026: brunt
3.61339: allot
3.61901: impel
3.68207: quart
3.58402: tubal
3.68337: omega
3.5879: prank
3.60432: fiber
3.59827: cheap
3.6: angry
3.6838: exact
3.71102: quite
3.64449: atoll
3.67473: mauve
3.60475: hasty
3.56717: pinto
3.5676: pansy
3.64233: lapel
3.5905: peace
3.58272: bilge
3.60821: began
3.61555: mower
3.6838: abase
3.62419: beady
3.61857: sheer
3.58229: prawn
3.55378: grunt
3.70842: quiet
3.6095: erode
3.60778: bloke
3.54989: cloth
3.57149: moult
3.59222: micro
3.59482: greet
3.58013: spree
3.67343: glaze
3.63542: decoy
3.60734: shark
3.5689: topic
3.5784: sling
3.58272: drawn
3.59957: harpy
3.59827: spike
3.68898: utter
3.61469: flour
3.59179: locus
3.6432: knead
3.69978: heath
3.59309: badge
3.60518: tangy
3.58143: chime
3.62808: thyme
3.61857: vapor
3.55464: round
3.56458: burnt
3.58661: deter
3.59611: girly
3.56069: modal
3.56587: fruit
3.5879: sworn
3.65443: movie
3.57192: final
3.5784: demur
3.66695: linen
3.55032: spurt
3.59784: curly
3.67991: retry
3.60562: dwelt
3.68769: lasso
3.6622: cress
3.57235: crypt
3.63067: speak
3.61857: vaunt
3.57106: cabin
3.54903: burst
3.62894: taint
3.59006: demon
3.59006: girth
3.57667: mirth
3.61512: whine
3.67214: rural
3.60734: viper
3.56069: broth
3.64363: algae
3.64363: crass
3.70022: vague
3.58272: bacon
3.61598: drier
3.6121: diver
3.58488: focal
3.60346: meter
3.59395: faith
3.60173: hotly
3.60475: coven
3.59957: gnome
3.59395: disco
3.64406: ethic
3.5987: guide
3.59784: graph
3.67991: apple
3.63542: lefty
3.64579: afoul
3.61512: stall
3.58618: repel
3.58272: trick
3.56371: spurn
